name,lat ,lon,銘柄
半田酒店,35.722276,139.7830111,"['多満自慢']"
（有）ふくはら酒店,35.7044873,139.7789368,"['仙禽']"
スーパーシマダヤ日本堤店 - （株）島田屋　日本堤店,35.7278496,139.7994709,"['開華', '甲子']"
豊洲社中（株）WASAKE Sake Experience,35.712098,139.7923132,"['多満自慢']"
岡本屋永吉商店,35.6933857,139.7816429,"['開華', '甲子', '多満自慢']"
大黒屋深沢ｓａｋｅてらす - （有）大黒屋深沢,35.6904763,139.7843193,"['越の誉']"
（株）野澤酒店,35.6845869,139.7855577,"['月の井', '開華']"
（株）はせがわ酒店 日本橋店,35.6876497,139.7746064,"['仙禽']"
酒の勝鬨 - 勝鬨酒販（株）,35.6660074,139.7750924,"['大山', '甲子']"
（株）はせがわ酒店 パレスホテル東京店,35.6845001,139.7612211,"['仙禽']"
（株）福島屋　秋葉原店,35.7005495,139.7726153,"['多満自慢']"
（株）甲子屋酒店,35.6953332,139.7560144,"['開華']"
小西（株）,35.6952112,139.7662862,"['開華', '甲子', '多満自慢']"
（有）三木酒店,35.7405868,139.7440055,"['多満自慢']"
スーパーシマダヤ大塚店 - （株）島田屋　大塚店,35.7299438,139.728062,"['開華', '甲子']"
（有）升新商店,35.7328072,139.7045898,"['開華']"
（株）泉屋　ノザキ,35.7226133,139.6946205,"['大雪渓']"
永世屋,35.7056524,139.6584119,"['多満自慢']"
（株）広島屋,35.700342,139.6714581,"['多満自慢']"
（有）丸西三河屋酒店,35.7268567,139.6704735,"['多満自慢']"
上原酒店,35.7292551,139.5946279,"['多満自慢']"
（株）柴山大晴商店,35.7372902,139.628842,"['多満自慢']"
（有）伊勢屋鈴木酒店,35.7423843,139.6039263,"['天覧山']"
（資）本多酒店,35.7278292,139.7412626,"['開華']"
（有）サワノ本店,35.7202017,139.7626123,"['多満自慢']"
（有）河内屋,35.7111901,139.7541574,"['開華', '甲子']"
（株）マスモト,35.6694968,139.7498522,"['仙禽', '甲子']"
（株）浅野日本酒店　ＨＡＭＡＭＡＴＳＵＣＨＯ,35.653916,139.7550158,"['開華', '多満自慢']"
（株）はせがわ酒店,35.652907,139.7517991,"['']"
（有）長野屋,35.6612745,139.7221652,"['開華']"
（株）福島屋　六本木店,35.6656056,139.7394165,"['多満自慢']"
酒の一祥 - （株）善波,35.6576441,139.7414323,"['甲子', '多満自慢']"
さかや栗原　麻布店 - さかや栗原,35.6557358,139.7298137,"['仙禽']"
（株）四方,35.6741149,139.7375518,"['多満自慢']"
（株）大西屋,35.650318,139.6856569,"['開華']"
（有）山木屋,35.6333184,139.6986959,"['開華', '多満自慢']"
（株）三浦屋　コピス吉祥寺店,35.7049541,139.5795709,"['多満自慢']"
（有）マサキ屋商店,35.6962376,139.5698064,"['多満自慢']"
（有）柏屋,35.6716334,139.4886723,"['多満自慢']"
加島屋 - （有）加島屋商店,35.6700348,139.4732061,"['多満自慢']"
（株）三浦屋　武蔵小金井店,35.7007274,139.5058103,"['多満自慢']"
（株）佐藤商店,35.6988806,139.5244658,"['多満自慢']"
（株）三浦屋 国立店,35.7000424,139.4467408,"['多満自慢']"
（有）つぶらや,35.6974609,139.4313863,"['大山']"
（株）髙柳商店,35.681151,139.4373721,"['多満自慢', '大雪渓']"
